player_id,name,birth_year,nationality,primary_position
5543,Cédric Varrault,1980.0,France,Defender
5544,Johan Audel,1983.0,Martinique,Attack
5566,Romain Rocchi,1981.0,France,Midfield
5576,Fabien Audard,1978.0,France,Goalkeeper
5578,Nicolas Penneteau,1981.0,France,Goalkeeper
5588,Michael Essien,1982.0,Ghana,Midfield
5592,Cyril Jeunechamp,1975.0,France,Midfield
5597,Chaouki Ben Saada,1984.0,Tunisia,Attack
5614,Cédric Kanté,1979.0,Mali,Defender
5622,Guillaume Lacour,1980.0,France,Defender
5627,Fabrice Ehret,1979.0,France,Defender
5635,Matthieu Chalmé,1980.0,France,Defender
5636,Matthieu Delpierre,1981.0,France,Defender
5639,José Saez,1982.0,France,Midfield
5645,Benoît Cheyrou,1981.0,France,Midfield
5648,Jean Makoun,1983.0,Cameroon,Midfield
5652,Marc-Antoine Fortuné,1981.0,French Guiana,Attack
5658,Petr Cech,1982.0,Czech Republic,Goalkeeper
5664,Arnaud Le Lan,1978.0,France,Defender
5667,Sébastien Puygrenier,1982.0,France,Defender
5668,Anthony Réveillère,1979.0,France,Defender
5672,Étienne Didot,1983.0,France,Midfield
5676,Olivier Sorlin,1979.0,France,Midfield
5680,Toifilou Maoulida,1979.0,France,Attack
5686,Laurent Pionnier,1982.0,France,Goalkeeper
5687,Rudy Riou,1980.0,France,Goalkeeper
5698,Cédric Barbosa,1976.0,France,Attack
5755,Emiliano Moretti,1981.0,Italy,Defender
5768,Rubén Olivera,1983.0,Uruguay,Midfield
5782,Emre Belözoglu,1980.0,Turkey,Midfield
5793,Giovanni Pasquale,1982.0,Italy,Defender
5794,Obafemi Martins,1984.0,Nigeria,Attack
5812,Cristian Brocchi,1976.0,Italy,Midfield
5817,Andrea Pirlo,1979.0,Italy,Midfield
5818,Massimo Ambrosini,1977.0,Italy,Midfield
5825,Marco Borriello,1982.0,Italy,Attack
5854,Sébastien Frey,1980.0,France,Goalkeeper
5856,Daniele Bonera,1981.0,Italy,Defender
5858,Paolo Cannavaro,1981.0,Italy,Defender
5868,Matteo Brighi,1981.0,Italy,Midfield
5870,Massimo Donati,1981.0,Italy,Midfield
5873,Marco Marchionni,1980.0,Italy,Midfield
5878,Alberto Gilardino,1982.0,Italy,Attack
5879,Adrian Mutu,1979.0,Romania,Attack
5880,Morgan De Sanctis,1977.0,Italy,Goalkeeper
5889,Thomas Manfredini,1980.0,Italy,Defender
5890,Sergio Almirón,1980.0,Argentina,Midfield
5893,Giampiero Pinzi,1981.0,Italy,Midfield
5896,David Pizarro,1979.0,Chile,Midfield
5908,Cristiano Lupatelli,1978.0,Italy,Goalkeeper
5917,John Mensah,1982.0,Ghana,Defender
5922,Simone Perrotta,1977.0,Italy,Midfield
5925,Nicola Legrottaglie,1976.0,Italy,Defender
5928,Sergio Pellissier,1979.0,Italy,Attack
5936,Ivan Pelizzoli,1980.0,Italy,Goalkeeper
5938,Walter Samuel,1978.0,Argentina,Defender
5942,Jonathan Zebina,1978.0,France,Defender
5946,Cesare Bovo,1983.0,Italy,Defender
5947,Daniele De Rossi,1983.0,Italy,Midfield
5948,Damiano Ferronetti,1984.0,Italy,Defender
5957,Alberto Aquilani,1984.0,Italy,Midfield
5958,Francesco Totti,1976.0,Italy,Attack
5962,Antonio Cassano,1982.0,Italy,Attack
5966,Marius Stankevicius,1981.0,Lithuania,Defender
5970,Dario Dainelli,1979.0,Italy,Defender
5974,Matuzalém,1980.0,Brazil,Midfield
5976,Roberto Guana,1981.0,Italy,Midfield
5980,Luca Toni,1977.0,Italy,Attack
5986,Ferdinando Coppola,1978.0,Italy,Goalkeeper
5993,Cristian Zaccardo,1981.0,Italy,Defender
6004,Alessandro Frara,1982.0,Italy,Midfield
6012,Stefano Lucchini,1980.0,Italy,Defender
6020,Francesco Tavano,1979.0,Italy,Attack
6026,Tommaso Rocchi,1977.0,Italy,Attack
6031,Antonio Di Natale,1977.0,Italy,Attack
6033,Francesco Lodi,1984.0,Italy,Midfield
6043,Stefano Mauri,1980.0,Italy,Midfield
6046,Giuseppe Sculli,1981.0,Italy,Attack
6058,Luca Castellazzi,1975.0,Italy,Goalkeeper
6075,Erjon Bogdani,1977.0,Albania,Attack
6076,David Di Michele,1976.0,Italy,Attack
6090,Manuele Blasi,1980.0,Italy,Midfield
6097,Fabrizio Miccoli,1979.0,Italy,Attack
6106,Georgios Karagounis,1977.0,Greece,Midfield
6107,Abdoulaye Faye,1978.0,Senegal,Defender
6119,Mohamed Sissoko,1985.0,Mali,Midfield
6150,Fabricio Coloccini,1982.0,Argentina,Defender
6157,Gaetano D'Agostino,1982.0,Italy,Midfield
6160,Mauricio Pinilla,1984.0,Chile,Attack
6233,Luciano,1975.0,Brazil,Midfield
6234,Amauri,1980.0,Italy,Attack
6237,Stefan Kießling,1984.0,Germany,Attack
6267,Fabrice Pancrate,1980.0,France,Attack
6270,Yohann Pelé,1982.0,France,Goalkeeper
6274,Grégory Cerdan,1982.0,France,Defender
6278,Yoann Poulard,1976.0,France,Defender
6287,Marco Caligiuri,1984.0,Germany,Defender
6288,Mario Gómez,1985.0,Germany,Attack
6322,Patrick Helmes,,Germany,Attack
6427,Marco Donadel,1983.0,Italy,Midfield
6438,Cristian Ledesma,1982.0,Italy,Midfield
6442,Antonio Rosati,1983.0,Italy,Goalkeeper
6448,Mirko Vucinic,1983.0,Montenegro,Attack
6457,Axel Bellinghausen,1983.0,Germany,Midfield
6585,Kalu Uche,1982.0,Nigeria,Attack
6636,Christian Fuchs,1986.0,Austria,Defender
