rank,player_id,name,clubs,leagues,nationality,primary_position,total_minutes_top5,total_appearances,peak_market_value_eur,peak_value_pct_in_league,obscurity_score
235,147485,Louis Schaub,1.FC Köln,Bundesliga,Austria,Midfield,1264,37,4000000.0,0.498793242156074,0.7326770223328157
236,14047,Jobi McAnuff,Reading FC,Premier League,Jamaica,Attack,3274,38,1750000.0,0.1227422003284072,0.731749054874556
237,118196,Jean Zimmer,Fortuna Düsseldorf,Bundesliga,Germany,Defender,2154,35,2750000.0,0.3817377312952534,0.7308850103213655
238,130108,Pajtim Kasami,Fulham FC,Premier League,Switzerland,Midfield,1827,31,6500000.0,0.4417077175697865,0.730212032687975
239,44317,Bojan Jokic,Chievo Verona; Villarreal CF,Serie A; La Liga,Slovenia,Defender,2772,37,1600000.0,0.2382573179033356,0.7301930464746889
240,371816,Dimitry Bertaud,Montpellier HSC,Ligue 1,DR Congo,Goalkeeper,2583,32,1500000.0,0.2889165628891656,0.7300572224313862
241,119044,Marcel Sobottka,Fortuna Düsseldorf,Bundesliga,Germany,Midfield,1643,32,3500000.0,0.4601769911504424,0.7296983261302051
242,170966,Jérémie Bela,Dijon FCO,Ligue 1,Angola,Attack,1294,45,3000000.0,0.4993773349937733,0.72947799916978
243,596240,Senou Coulibaly,Dijon FCO,Ligue 1,Mali,Defender,2927,40,1000000.0,0.2011207970112079,0.7293814619595124
244,48081,Christian Strohdiek,SC Paderborn 07,Bundesliga,Germany,Defender,2975,38,1200000.0,0.1850362027353178,0.7291873249889302
245,340339,Jorge Sáenz,Celta de Vigo,La Liga,Spain,Defender,2061,30,3000000.0,0.40571817562968,0.7278579664487259
246,111527,Mathieu Duhamel,SM Caen; Thonon Évian Grand Genève FC,Ligue 1,France,Attack,2228,30,2000000.0,0.3714196762141967,0.7273231076293358
247,57818,Míchel Madera,Getafe CF,La Liga,Spain,Midfield,2087,33,3000000.0,0.40571817562968,0.7254354858285709
248,212937,Alexy Bosetti,OGC Nice,Ligue 1,France,Attack,1420,47,3000000.0,0.4993773349937733,0.724148541805439
249,142027,Pablo Hervías,Real Sociedad; Real Valladolid CF; SD Eibar,La Liga,Spain,Attack,2928,74,1500000.0,0.2106875425459496,0.7241135930681105
250,139955,Emanuel Herrera,Montpellier HSC,Ligue 1,Argentina,Attack,1945,41,2500000.0,0.4377334993773349,0.7239627076756736
251,193859,Patrick Erras,1.FC Nuremberg,Bundesliga,Germany,Defender,2075,33,3000000.0,0.413113435237329,0.7227068482728083
252,89643,Kévin Gomis,OGC Nice,Ligue 1,France,Defender,3126,41,900000.0,0.1690535491905355,0.7197367912962052
253,318520,Clément Michelin,FC Toulouse,Ligue 1,France,Defender,1992,42,2500000.0,0.4377334993773349,0.719359994497379
254,138584,Luka Krajnc,Genoa CFC; Cesena FC; Frosinone Calcio,Serie A,Slovenia,Defender,2687,34,1800000.0,0.2865243495663775,0.719140925992005
